"CMS Certification Number (CCN)","State","Percent of residents who are up-to-date on their vaccines","Percent of staff who are up-to-date on their vaccines","Date vaccination data last updated"
"015009","AL","3.8","12.3","10/27/2024"
"015010","AL","0.0","0.0","10/27/2024"
"015012","AL","37.0","0.0","10/27/2024"
"015014","AL","Not Available","Not Available","10/27/2024"
"015015","AL","65.6","0.0","10/27/2024"
"015016","AL","Not Available","Not Available","10/27/2024"
"015019","AL","1.0","11.1","10/27/2024"
"015023","AL","32.2","0.0","10/27/2024"
"015024","AL","13.6","0.0","10/27/2024"
"015027","AL","Not Available","Not Available","10/27/2024"
"015028","AL","15.4","0.0","10/27/2024"
"015031","AL","16.4","0.0","10/27/2024"
"015032","AL","13.8","0.7","10/27/2024"
"015034","AL","Not Available","Not Available","10/27/2024"
"015035","AL","46.6","0.0","10/27/2024"
"015040","AL","30.8","0.0","10/27/2024"
"015042","AL","Not Available","Not Available","10/27/2024"
"015044","AL","61.2","14.8","10/27/2024"
"015045","AL","0.0","0.0","10/27/2024"
"015047","AL","Not Available","Not Available","10/27/2024"
"015048","AL","0.0","Not Available","10/27/2024"
"015049","AL","0.0","0.0","10/27/2024"
"015050","AL","0.0","0.0","10/27/2024"
"015053","AL","0.0","0.0","10/27/2024"
"015060","AL","0.0","0.0","10/27/2024"
"015063","AL","0.0","0.0","10/27/2024"
"015065","AL","Not Available","Not Available","10/27/2024"
"015066","AL","1.9","0.0","10/27/2024"
"015067","AL","0.0","1.0","10/27/2024"
"015071","AL","0.0","1.2","10/27/2024"
"015073","AL","54.4","6.1","10/27/2024"
"015075","AL","6.1","0.0","10/27/2024"
"015076","AL","22.5","Not Available","10/27/2024"
"015083","AL","18.1","0.0","10/27/2024"
"015084","AL","1.0","0.0","10/27/2024"
"015089","AL","8.1","7.5","10/27/2024"
"015091","AL","0.0","0.0","10/27/2024"
"015097","AL","Not Available","Not Available","10/27/2024"
"015098","AL","65.0","0.0","10/27/2024"
"015100","AL","5.1","0.0","10/27/2024"
"015101","AL","43.8","2.5","10/27/2024"
"015103","AL","Not Available","Not Available","10/27/2024"
"015104","AL","47.5","1.1","10/27/2024"
"015109","AL","Not Available","Not Available","10/27/2024"
"015111","AL","0.0","1.7","10/27/2024"
"015112","AL","0.0","2.2","10/27/2024"
"015113","AL","21.8","0.5","10/27/2024"
"015114","AL","66.7","5.6","10/27/2024"
"015115","AL","Not Available","Not Available","10/27/2024"
"015116","AL","1.6","0.0","10/27/2024"
"015117","AL","Not Available","Not Available","10/27/2024"
"015119","AL","43.8","0.0","10/27/2024"
"015120","AL","25.7","3.8","10/27/2024"
"015121","AL","56.2","6.3","10/27/2024"
"015123","AL","0.0","0.0","10/27/2024"
"015124","AL","42.9","0.0","10/27/2024"
"015126","AL","0.0","0.7","10/27/2024"
"015127","AL","9.6","1.2","10/27/2024"
"015128","AL","38.4","1.3","10/27/2024"
"015129","AL","0.0","0.0","10/27/2024"
"015132","AL","0.0","0.0","10/27/2024"
"015133","AL","0.0","7.0","10/27/2024"
"015134","AL","0.0","0.0","10/27/2024"
"015135","AL","0.0","Not Available","10/27/2024"
"015136","AL","0.0","0.0","10/27/2024"
"015137","AL","0.0","0.0","10/27/2024"
"015138","AL","Not Available","Not Available","10/27/2024"
"015139","AL","Not Available","Not Available","10/27/2024"
"015141","AL","1.9","1.0","10/27/2024"
"015142","AL","Not Available","Not Available","10/27/2024"
"015143","AL","32.5","4.0","10/27/2024"
"015144","AL","22.3","0.0","10/27/2024"
"015145","AL","27.5","18.7","10/27/2024"
"015147","AL","0.0","2.1","10/27/2024"
"015148","AL","0.0","0.0","10/27/2024"
"015149","AL","56.1","0.0","10/27/2024"
"015150","AL","53.8","0.0","10/27/2024"
"015151","AL","0.0","2.5","10/27/2024"
"015152","AL","72.1","0.8","10/27/2024"
"015153","AL","0.0","0.0","10/27/2024"
"015154","AL","10.9","1.1","10/27/2024"
"015155","AL","34.7","0.0","10/27/2024"
"015156","AL","28.3","6.5","10/27/2024"
"015157","AL","2.9","0.0","10/27/2024"
"015158","AL","0.0","0.0","10/27/2024"
"015159","AL","5.6","0.0","10/27/2024"
"015160","AL","32.8","0.5","10/27/2024"
"015162","AL","23.9","0.9","10/27/2024"
"015163","AL","0.0","0.0","10/27/2024"
"015164","AL","32.9","2.7","10/27/2024"
"015166","AL","55.2","6.6","10/27/2024"
"015167","AL","0.0","6.9","10/27/2024"
"015168","AL","70.0","1.1","10/27/2024"
"015169","AL","0.7","0.4","10/27/2024"
"015171","AL","0.0","1.4","10/27/2024"
"015174","AL","0.0","11.8","10/27/2024"
"015175","AL","28.0","0.0","10/27/2024"
"015176","AL","Not Available","Not Available","10/27/2024"
"015177","AL","40.0","0.0","10/27/2024"
"015178","AL","0.0","0.7","10/27/2024"
"015179","AL","50.0","3.3","10/27/2024"
"015180","AL","26.4","1.2","10/27/2024"
"015182","AL","Not Available","Not Available","10/27/2024"
"015183","AL","0.0","0.0","10/27/2024"
"015184","AL","0.0","0.0","10/27/2024"
"015186","AL","Not Available","Not Available","10/27/2024"
"015187","AL","Not Available","Not Available","10/27/2024"
"015188","AL","59.6","0.0","10/27/2024"
"015189","AL","0.0","0.0","10/27/2024"
"015191","AL","57.4","7.3","10/27/2024"
"015192","AL","31.4","14.4","10/27/2024"
"015193","AL","66.3","0.8","10/27/2024"
"015194","AL","0.0","0.0","10/27/2024"
"015195","AL","0.0","0.4","10/27/2024"
"015196","AL","0.0","0.0","10/27/2024"
"015197","AL","0.0","0.0","10/27/2024"
"015199","AL","39.9","0.0","10/27/2024"
"015200","AL","0.5","0.0","10/27/2024"
"015201","AL","0.0","0.9","10/27/2024"
"015202","AL","59.0","8.2","10/27/2024"
"015203","AL","8.5","4.3","10/27/2024"
"015204","AL","71.4","0.0","10/27/2024"
"015206","AL","Not Available","Not Available","10/27/2024"
"015207","AL","38.3","2.5","10/27/2024"
"015208","AL","Not Available","Not Available","10/27/2024"
"015209","AL","24.4","0.0","10/27/2024"
"015210","AL","0.0","0.0","10/27/2024"
"015211","AL","24.6","5.4","10/27/2024"
"015212","AL","55.7","0.7","10/27/2024"
"015213","AL","0.0","Not Available","10/27/2024"
"015214","AL","33.8","0.0","10/27/2024"
"015215","AL","59.7","2.0","10/27/2024"
"015216","AL","0.0","0.0","10/27/2024"
"015217","AL","0.0","1.0","10/27/2024"
"015220","AL","40.2","10.2","10/27/2024"
"015221","AL","59.0","0.9","10/27/2024"
"015222","AL","47.3","0.0","10/27/2024"
"015223","AL","0.0","0.0","10/27/2024"
"015225","AL","56.1","0.0","10/27/2024"
"015227","AL","48.2","2.1","10/27/2024"
"015228","AL","0.0","5.0","10/27/2024"
"015303","AL","0.0","0.0","10/27/2024"
"015315","AL","0.0","0.0","10/27/2024"
"015320","AL","41.9","0.7","10/27/2024"
"015321","AL","Not Available","Not Available","10/27/2024"
"015322","AL","0.0","0.0","10/27/2024"
"015326","AL","Not Available","Not Available","10/27/2024"
"015330","AL","42.6","9.5","10/27/2024"
"015331","AL","0.0","0.7","10/27/2024"
"015336","AL","Not Available","Not Available","10/27/2024"
"015361","AL","41.1","0.0","10/27/2024"
"015369","AL","0.0","0.0","10/27/2024"
"015371","AL","0.0","0.0","10/27/2024"
"015372","AL","21.9","0.0","10/27/2024"
"015373","AL","0.0","2.5","10/27/2024"
"015374","AL","24.1","0.0","10/27/2024"
"015375","AL","1.3","0.0","10/27/2024"
"015376","AL","0.0","0.0","10/27/2024"
"015378","AL","47.0","0.0","10/27/2024"
"015379","AL","3.0","0.4","10/27/2024"
"015381","AL","0.0","0.0","10/27/2024"
"015382","AL","41.8","15.9","10/27/2024"
"015383","AL","33.8","1.7","10/27/2024"
"015386","AL","56.9","6.9","10/27/2024"
"015388","AL","39.0","0.0","10/27/2024"
"015390","AL","0.9","0.0","10/27/2024"
"015391","AL","Not Available","Not Available","10/27/2024"
"015392","AL","94.8","100.0","10/27/2024"
"015393","AL","0.0","0.0","10/27/2024"
"015396","AL","0.0","0.0","10/27/2024"
"015397","AL","0.0","7.6","10/27/2024"
"015398","AL","0.0","0.0","10/27/2024"
"015400","AL","43.5","0.0","10/27/2024"
"015402","AL","47.5","1.0","10/27/2024"
"015403","AL","Not Available","Not Available","10/27/2024"
"015404","AL","38.2","0.0","10/27/2024"
"015406","AL","35.2","9.6","10/27/2024"
"015407","AL","0.0","0.0","10/27/2024"
"015408","AL","0.0","0.0","10/27/2024"
"015411","AL","32.8","1.0","10/27/2024"
"015413","AL","34.9","0.0","10/27/2024"
"015414","AL","0.0","0.0","10/27/2024"
"015416","AL","0.0","0.0","10/27/2024"
"015417","AL","33.3","3.4","10/27/2024"
"015419","AL","51.1","2.8","10/27/2024"
"015420","AL","41.2","0.0","10/27/2024"
"015422","AL","5.3","0.0","10/27/2024"
"015423","AL","11.9","0.0","10/27/2024"
"015424","AL","0.0","0.0","10/27/2024"
"015425","AL","0.0","0.0","10/27/2024"
"015426","AL","23.4","0.0","10/27/2024"
"015429","AL","0.0","0.0","10/27/2024"
"015431","AL","Not Available","Not Available","10/27/2024"
"015433","AL","1.1","0.0","10/27/2024"
"015434","AL","0.0","0.0","10/27/2024"
"015435","AL","2.5","0.6","10/27/2024"
"015436","AL","0.0","0.0","10/27/2024"
"015437","AL","5.1","0.0","10/27/2024"
"015440","AL","Not Available","Not Available","10/27/2024"
"015442","AL","55.1","7.9","10/27/2024"
"015443","AL","Not Available","Not Available","10/27/2024"
"015445","AL","52.9","0.0","10/27/2024"
"015446","AL","0.0","0.0","10/27/2024"
"015447","AL","0.0","10.1","10/27/2024"
"015448","AL","0.0","0.0","10/27/2024"
"015450","AL","2.1","0.0","10/27/2024"
"015451","AL","Not Available","Not Available","10/27/2024"
"015452","AL","44.0","6.0","10/27/2024"
"015453","AL","0.0","0.0","10/27/2024"
"015454","AL","64.8","3.2","10/27/2024"
"015455","AL","51.6","1.5","10/27/2024"
"015456","AL","Not Available","Not Available","10/27/2024"
"015457","AL","49.1","0.0","10/27/2024"
"015458","AL","0.0","11.5","10/27/2024"
"015459","AL","16.7","0.0","10/27/2024"
"015460","AL","Not Available","Not Available","10/27/2024"
"015461","AL","Not Available","Not Available","10/27/2024"
"015463","AL","59.2","11.9","10/27/2024"
"015464","AL","Not Available","Not Available","10/27/2024"
"015465","AL","Not Available","Not Available","10/27/2024"
"015467","AL","32.7","18.5","10/27/2024"
"015468","AL","Not Available","Not Available","10/27/2024"
"01A193","AL","67.4","6.7","10/27/2024"
"01A208","AL","Not Available","Not Available","10/27/2024"
"025010","AK","22.7","8.0","10/27/2024"
"025015","AK","0.0","5.6","10/27/2024"
"025018","AK","34.7","0.0","10/27/2024"
"025019","AK","71.4","0.0","10/27/2024"
"025020","AK","72.4","1.4","10/27/2024"
"025021","AK","54.2","1.1","10/27/2024"
"025024","AK","0.0","0.0","10/27/2024"
"025025","AK","32.3","0.0","10/27/2024"
"025026","AK","100.0","3.4","10/27/2024"
"025027","AK","30.2","10.9","10/27/2024"
"025028","AK","50.0","0.0","10/27/2024"
"025030","AK","0.0","26.8","10/27/2024"
"025031","AK","76.0","12.3","10/27/2024"
"025032","AK","47.1","5.7","10/27/2024"
"025034","AK","0.0","0.0","10/27/2024"
"025035","AK","100.0","0.0","10/27/2024"
"025036","AK","70.2","0.0","10/27/2024"
"025037","AK","64.3","25.0","10/27/2024"
"025038","AK","23.7","0.6","10/27/2024"
"025039","AK","1.5","0.0","10/27/2024"
"035003","AZ","38.8","14.9","10/27/2024"
"035004","AZ","64.5","7.6","10/27/2024"
"035014","AZ","0.0","0.0","10/27/2024"
"035016","AZ","7.4","0.8","10/27/2024"
"035059","AZ","0.0","35.9","10/27/2024"
"035062","AZ","62.8","2.2","10/27/2024"
"035064","AZ","0.0","0.0","10/27/2024"
"035068","AZ","30.5","0.0","10/27/2024"
"035070","AZ","32.5","0.6","10/27/2024"
"035071","AZ","0.6","0.0","10/27/2024"
"035072","AZ","34.8","0.0","10/27/2024"
"035073","AZ","35.7","7.1","10/27/2024"
"035074","AZ","44.9","1.7","10/27/2024"
"035076","AZ","23.5","0.0","10/27/2024"
"035083","AZ","11.0","0.0","10/27/2024"
"035084","AZ","0.6","0.0","10/27/2024"
"035085","AZ","0.0","90.5","10/27/2024"
"035086","AZ","10.8","0.0","10/27/2024"
"035087","AZ","13.5","7.0","10/27/2024"
"035088","AZ","0.0","0.0","10/27/2024"
"035091","AZ","56.3","10.3","10/27/2024"
"035092","AZ","0.0","0.0","10/27/2024"
"035093","AZ","1.8","0.0","10/27/2024"
"035094","AZ","13.9","0.0","10/27/2024"
"035095","AZ","11.5","0.0","10/27/2024"
"035096","AZ","50.0","1.8","10/27/2024"
"035097","AZ","2.5","0.0","10/27/2024"
"035099","AZ","0.6","0.0","10/27/2024"
"035100","AZ","0.0","0.0","10/27/2024"
"035101","AZ","0.9","7.4","10/27/2024"
"035103","AZ","7.6","0.0","10/27/2024"
"035105","AZ","25.5","18.4","10/27/2024"
"035106","AZ","22.4","0.0","10/27/2024"
"035107","AZ","5.7","0.0","10/27/2024"
"035110","AZ","36.2","0.0","10/27/2024"
"035111","AZ","0.0","0.0","10/27/2024"
"035112","AZ","6.6","3.8","10/27/2024"
"035114","AZ","0.0","1.1","10/27/2024"
"035116","AZ","32.1","2.4","10/27/2024"
"035117","AZ","0.0","0.0","10/27/2024"
"035118","AZ","0.0","1.0","10/27/2024"
"035120","AZ","33.9","2.0","10/27/2024"
"035121","AZ","10.1","1.1","10/27/2024"
"035125","AZ","0.0","0.0","10/27/2024"
"035126","AZ","27.7","0.0","10/27/2024"
"035127","AZ","0.0","0.0","10/27/2024"
"035130","AZ","36.1","0.2","10/27/2024"
"035131","AZ","10.7","0.0","10/27/2024"
"035132","AZ","39.3","15.4","10/27/2024"
"035133","AZ","14.6","6.0","10/27/2024"
"035134","AZ","56.7","16.9","10/27/2024"
"035135","AZ","0.5","9.2","10/27/2024"
"035136","AZ","0.0","0.0","10/27/2024"
"035139","AZ","20.4","0.0","10/27/2024"
"035140","AZ","57.0","0.0","10/27/2024"
"035141","AZ","38.2","0.0","10/27/2024"
"035143","AZ","12.5","78.0","10/27/2024"
"035144","AZ","26.3","17.0","10/27/2024"
"035145","AZ","66.0","28.4","10/27/2024"
"035146","AZ","38.0","2.8","10/27/2024"
"035147","AZ","29.8","0.0","10/27/2024"
"035151","AZ","23.4","85.3","10/27/2024"
"035152","AZ","0.0","0.0","10/27/2024"
"035154","AZ","10.5","4.3","10/27/2024"
"035158","AZ","6.1","0.0","10/27/2024"
"035159","AZ","35.8","0.0","10/27/2024"
"035164","AZ","24.7","0.0","10/27/2024"
"035165","AZ","11.8","7.1","10/27/2024"
"035166","AZ","24.5","3.0","10/27/2024"
"035169","AZ","28.4","1.9","10/27/2024"
"035171","AZ","0.0","0.0","10/27/2024"
"035172","AZ","39.0","1.0","10/27/2024"
"035173","AZ","40.0","0.0","10/27/2024"
"035174","AZ","3.2","0.0","10/27/2024"
"035175","AZ","10.1","62.5","10/27/2024"
"035176","AZ","Not Available","Not Available","10/27/2024"
"035180","AZ","0.0","23.6","10/27/2024"
"035183","AZ","28.2","16.0","10/27/2024"
"035189","AZ","31.7","6.6","10/27/2024"
"035190","AZ","13.6","0.0","10/27/2024"
"035193","AZ","28.1","0.7","10/27/2024"
"035196","AZ","15.0","0.0","10/27/2024"
"035197","AZ","Not Available","Not Available","10/27/2024"
"035205","AZ","0.0","2.5","10/27/2024"
"035207","AZ","16.7","0.0","10/27/2024"
"035214","AZ","20.8","0.0","10/27/2024"
"035216","AZ","68.5","2.0","10/27/2024"
"035217","AZ","0.0","1.1","10/27/2024"
"035225","AZ","0.0","0.0","10/27/2024"
"035231","AZ","41.2","1.6","10/27/2024"
"035232","AZ","33.0","0.0","10/27/2024"
"035233","AZ","0.0","0.0","10/27/2024"
"035234","AZ","50.0","0.0","10/27/2024"
"035240","AZ","0.0","0.0","10/27/2024"
"035241","AZ","0.0","0.0","10/27/2024"
"035242","AZ","81.5","24.4","10/27/2024"
"035244","AZ","26.2","2.4","10/27/2024"
"035245","AZ","17.4","0.0","10/27/2024"
"035247","AZ","31.0","1.1","10/27/2024"
"035249","AZ","3.2","0.0","10/27/2024"
"035250","AZ","0.0","0.6","10/27/2024"
"035251","AZ","0.0","0.0","10/27/2024"
"035253","AZ","90.9","0.0","10/27/2024"
"035254","AZ","2.8","0.5","10/27/2024"
"035255","AZ","45.9","1.8","10/27/2024"
"035256","AZ","27.5","8.1","10/27/2024"
"035257","AZ","0.0","0.0","10/27/2024"
"035260","AZ","13.6","0.0","10/27/2024"
"035262","AZ","51.1","0.4","10/27/2024"
"035263","AZ","91.3","68.9","10/27/2024"
"035264","AZ","33.3","3.3","10/27/2024"
"035265","AZ","39.2","1.5","10/27/2024"
"035266","AZ","8.3","4.8","10/27/2024"
"035268","AZ","2.1","0.0","10/27/2024"
"035270","AZ","0.0","1.1","10/27/2024"
"035272","AZ","0.0","0.0","10/27/2024"
"035273","AZ","68.6","6.2","10/27/2024"
"035275","AZ","12.3","0.9","10/27/2024"
"035276","AZ","37.5","28.6","10/27/2024"
"035277","AZ","Not Available","Not Available","10/27/2024"
"035279","AZ","30.0","4.7","10/27/2024"
"035280","AZ","17.1","24.5","10/27/2024"
"035281","AZ","0.0","0.0","10/27/2024"
"035282","AZ","3.8","0.6","10/27/2024"
"035283","AZ","0.0","0.0","10/27/2024"
"035284","AZ","76.3","10.4","10/27/2024"
"035285","AZ","0.0","0.0","10/27/2024"
"035286","AZ","1.5","8.9","10/27/2024"
"035287","AZ","16.7","8.9","10/27/2024"
"035289","AZ","0.0","0.0","10/27/2024"
"035290","AZ","28.7","0.0","10/27/2024"
"035291","AZ","6.1","3.4","10/27/2024"
"035292","AZ","2.1","0.0","10/27/2024"
"035295","AZ","15.7","4.8","10/27/2024"
"035296","AZ","0.0","0.0","10/27/2024"
"035297","AZ","0.0","0.0","10/27/2024"
"035298","AZ","9.1","0.0","10/27/2024"
"035299","AZ","11.9","0.0","10/27/2024"
"035300","AZ","11.1","0.0","10/27/2024"
"035301","AZ","0.0","0.0","10/27/2024"
"035302","AZ","9.5","3.7","10/27/2024"
"035303","AZ","Not Available","Not Available","10/27/2024"
"045070","AR","0.0","0.0","10/27/2024"
"045098","AR","0.0","0.0","10/27/2024"
"045125","AR","0.0","0.0","10/27/2024"
"045134","AR","0.8","0.0","10/27/2024"
"045135","AR","1.2","0.0","10/27/2024"
"045138","AR","11.8","0.0","10/27/2024"
"045140","AR","0.0","0.0","10/27/2024"
"045142","AR","0.0","0.0","10/27/2024"
"045143","AR","Not Available","Not Available","10/27/2024"
"045146","AR","100.0","0.0","10/27/2024"
"045147","AR","0.9","0.0","10/27/2024"
"045148","AR","0.0","1.3","10/27/2024"
"045151","AR","0.0","0.0","10/27/2024"
"045153","AR","6.7","6.8","10/27/2024"
"045155","AR","0.0","0.0","10/27/2024"
"045157","AR","0.0","0.0","10/27/2024"
"045158","AR","0.0","0.0","10/27/2024"
"045166","AR","0.0","0.0","10/27/2024"
"045167","AR","Not Available","Not Available","10/27/2024"
"045168","AR","16.7","0.5","10/27/2024"
"045170","AR","0.8","0.0","10/27/2024"
"045172","AR","0.0","0.0","10/27/2024"
"045173","AR","0.0","0.9","10/27/2024"
"045176","AR","0.0","0.0","10/27/2024"
"045177","AR","0.0","0.0","10/27/2024"
"045178","AR","0.0","1.6","10/27/2024"
"045180","AR","48.6","0.0","10/27/2024"
"045182","AR","0.0","0.0","10/27/2024"
"045183","AR","0.0","0.0","10/27/2024"
"045184","AR","0.0","0.0","10/27/2024"
"045187","AR","0.0","0.0","10/27/2024"
"045189","AR","5.4","0.0","10/27/2024"
"045190","AR","0.0","81.0","10/27/2024"
"045191","AR","0.0","0.0","10/27/2024"
"045192","AR","0.0","0.9","10/27/2024"
"045194","AR","0.0","0.0","10/27/2024"
"045195","AR","0.0","0.0","10/27/2024"
"045196","AR","0.0","0.5","10/27/2024"
"045197","AR","0.0","0.0","10/27/2024"
"045199","AR","0.0","0.0","10/27/2024"
"045201","AR","0.0","0.0","10/27/2024"
"045202","AR","0.0","0.0","10/27/2024"
"045203","AR","2.9","0.0","10/27/2024"
"045207","AR","0.0","0.0","10/27/2024"
"045208","AR","1.3","2.1","10/27/2024"
"045209","AR","0.0","0.3","10/27/2024"
"045211","AR","55.0","0.0","10/27/2024"
"045212","AR","0.0","0.0","10/27/2024"
"045214","AR","4.8","0.0","10/27/2024"
"045216","AR","0.0","0.0","10/27/2024"
"045217","AR","0.0","0.0","10/27/2024"
"045218","AR","0.0","2.6","10/27/2024"
"045219","AR","90.2","11.4","10/27/2024"
"045220","AR","Not Available","Not Available","10/27/2024"
"045221","AR","63.3","0.0","10/27/2024"
"045222","AR","0.0","0.0","10/27/2024"
"045227","AR","24.3","1.4","10/27/2024"
"045228","AR","69.0","0.0","10/27/2024"
"045232","AR","0.0","1.6","10/27/2024"
"045236","AR","0.0","0.0","10/27/2024"
"045239","AR","31.3","0.0","10/27/2024"
"045241","AR","0.0","0.0","10/27/2024"
"045242","AR","76.4","0.0","10/27/2024"
"045243","AR","0.0","0.0","10/27/2024"
"045244","AR","54.4","0.0","10/27/2024"
"045245","AR","0.0","0.0","10/27/2024"
"045246","AR","0.0","1.1","10/27/2024"
"045247","AR","13.2","0.0","10/27/2024"
"045248","AR","0.0","0.0","10/27/2024"
"045250","AR","77.8","68.2","10/27/2024"
"045254","AR","51.0","6.8","10/27/2024"
"045256","AR","0.0","0.0","10/27/2024"
"045259","AR","0.0","100.0","10/27/2024"
"045266","AR","0.0","0.0","10/27/2024"
"045267","AR","Not Available","Not Available","10/27/2024"
"045268","AR","11.4","0.0","10/27/2024"
"045269","AR","0.0","0.0","10/27/2024"
"045270","AR","0.0","0.0","10/27/2024"
"045271","AR","0.0","0.6","10/27/2024"
"045275","AR","0.0","0.9","10/27/2024"
"045277","AR","0.0","0.0","10/27/2024"
"045280","AR","0.0","1.2","10/27/2024"
"045284","AR","0.0","0.0","10/27/2024"
"045287","AR","9.3","1.3","10/27/2024"
"045288","AR","0.0","0.0","10/27/2024"
"045289","AR","73.7","0.9","10/27/2024"
"045290","AR","0.0","0.0","10/27/2024"
"045295","AR","20.0","0.0","10/27/2024"
"045297","AR","1.7","0.0","10/27/2024"
"045300","AR","Not Available","Not Available","10/27/2024"
"045301","AR","0.0","0.0","10/27/2024"
"045302","AR","46.8","3.7","10/27/2024"
"045303","AR","0.0","5.0","10/27/2024"
"045304","AR","0.0","0.0","10/27/2024"
"045305","AR","0.0","0.0","10/27/2024"
"045306","AR","0.0","0.0","10/27/2024"
"045308","AR","0.7","0.0","10/27/2024"
"045313","AR","0.0","0.0","10/27/2024"
"045314","AR","0.0","0.0","10/27/2024"
"045315","AR","1.3","0.0","10/27/2024"
"045317","AR","52.7","0.8","10/27/2024"
"045318","AR","0.0","0.0","10/27/2024"
"045322","AR","0.0","0.0","10/27/2024"
"045323","AR","0.0","0.0","10/27/2024"
"045326","AR","0.0","0.0","10/27/2024"
"045327","AR","0.0","0.0","10/27/2024"
"045334","AR","1.3","0.0","10/27/2024"
"045337","AR","0.0","0.0","10/27/2024"
"045338","AR","0.0","2.2","10/27/2024"
"045339","AR","0.0","3.8","10/27/2024"
"045340","AR","1.2","0.6","10/27/2024"
"045341","AR","0.0","0.0","10/27/2024"
"045342","AR","39.1","0.0","10/27/2024"
"045343","AR","0.0","0.0","10/27/2024"
"045345","AR","0.0","0.0","10/27/2024"
"045346","AR","5.1","0.0","10/27/2024"
"045350","AR","0.0","0.0","10/27/2024"
"045351","AR","0.0","0.5","10/27/2024"
"045352","AR","0.0","0.0","10/27/2024"
"045353","AR","3.2","0.0","10/27/2024"
"045354","AR","Not Available","Not Available","10/27/2024"
"045356","AR","1.2","0.0","10/27/2024"
"045357","AR","1.7","1.1","10/27/2024"
"045358","AR","0.0","0.0","10/27/2024"
"045359","AR","0.0","0.0","10/27/2024"
"045361","AR","6.6","0.0","10/27/2024"
"045363","AR","Not Available","Not Available","10/27/2024"
"045364","AR","0.0","0.0","10/27/2024"
"045365","AR","0.0","0.0","10/27/2024"
"045366","AR","0.0","0.0","10/27/2024"
"045367","AR","86.0","0.0","10/27/2024"
"045369","AR","0.0","0.4","10/27/2024"
"045370","AR","0.0","0.0","10/27/2024"
"045371","AR","0.0","0.0","10/27/2024"
"045372","AR","0.0","0.0","10/27/2024"
"045373","AR","0.0","0.0","10/27/2024"
"045374","AR","0.0","0.0","10/27/2024"
"045376","AR","0.0","0.0","10/27/2024"
"045377","AR","0.0","0.0","10/27/2024"
"045378","AR","43.1","0.0","10/27/2024"
"045379","AR","0.0","5.1","10/27/2024"
"045380","AR","0.0","0.0","10/27/2024"
"045381","AR","0.0","0.0","10/27/2024"
"045383","AR","9.4","0.0","10/27/2024"
"045384","AR","59.4","0.0","10/27/2024"
"045385","AR","0.0","0.0","10/27/2024"
"045386","AR","18.3","0.0","10/27/2024"
"045387","AR","1.1","0.0","10/27/2024"
"045390","AR","0.0","0.0","10/27/2024"
"045391","AR","0.0","0.0","10/27/2024"
"045392","AR","0.0","0.0","10/27/2024"
"045393","AR","1.1","0.0","10/27/2024"
"045394","AR","0.0","0.0","10/27/2024"
"045396","AR","0.0","0.0","10/27/2024"
"045398","AR","4.5","1.5","10/27/2024"
"045401","AR","43.9","2.1","10/27/2024"
"045402","AR","40.9","94.1","10/27/2024"
"045403","AR","0.0","0.0","10/27/2024"
"045404","AR","0.0","4.2","10/27/2024"
"045407","AR","0.0","0.4","10/27/2024"
"045408","AR","0.0","0.0","10/27/2024"
"045409","AR","66.7","2.0","10/27/2024"
"045410","AR","67.1","1.3","10/27/2024"
"045411","AR","0.0","0.0","10/27/2024"
"045412","AR","0.0","0.0","10/27/2024"
"045413","AR","64.5","1.2","10/27/2024"
"045414","AR","0.0","0.8","10/27/2024"
"045415","AR","61.3","1.8","10/27/2024"
"045416","AR","0.0","1.2","10/27/2024"
"045417","AR","2.1","0.0","10/27/2024"
"045418","AR","12.1","0.0","10/27/2024"
"045419","AR","0.7","0.0","10/27/2024"
"045421","AR","59.0","2.6","10/27/2024"
"045422","AR","0.0","0.0","10/27/2024"
"045424","AR","43.2","0.7","10/27/2024"
"045427","AR","77.1","97.1","10/27/2024"
"045428","AR","65.9","0.3","10/27/2024"
"045430","AR","2.9","0.0","10/27/2024"
"045431","AR","0.0","0.0","10/27/2024"
"045432","AR","0.0","0.0","10/27/2024"
"045433","AR","0.0","0.0","10/27/2024"
"045434","AR","1.8","0.0","10/27/2024"
"045435","AR","0.0","3.8","10/27/2024"
"045436","AR","65.0","0.0","10/27/2024"
"045437","AR","1.9","0.0","10/27/2024"
"045438","AR","0.0","0.0","10/27/2024"
"045439","AR","0.0","0.0","10/27/2024"
"045440","AR","0.0","0.0","10/27/2024"
"045441","AR","0.0","0.0","10/27/2024"
"045442","AR","0.0","0.9","10/27/2024"
"045443","AR","0.0","0.4","10/27/2024"
"045445","AR","17.7","0.0","10/27/2024"
"045446","AR","0.0","0.0","10/27/2024"
"045447","AR","76.8","4.3","10/27/2024"
"045449","AR","0.0","0.0","10/27/2024"
"045450","AR","0.0","0.0","10/27/2024"
"045451","AR","0.0","0.0","10/27/2024"
"045452","AR","0.0","0.0","10/27/2024"
"045453","AR","7.5","0.7","10/27/2024"
"045454","AR","64.8","86.5","10/27/2024"
"045455","AR","0.0","0.5","10/27/2024"
"045456","AR","0.0","1.0","10/27/2024"
"045457","AR","0.0","0.0","10/27/2024"
"045458","AR","0.0","0.0","10/27/2024"
"045460","AR","50.9","27.2","10/27/2024"
"045462","AR","0.0","0.0","10/27/2024"
"045463","AR","0.0","3.4","10/27/2024"
"045464","AR","0.0","4.5","10/27/2024"
"045465","AR","0.9","0.7","10/27/2024"
